Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W)
0.0,810.0,0.0,0.0,0.0,0.0,83,840.0,0.0,0.0,0.0,0.0,71
1.6367969512939453,1980.0,0.0,0.0,0.0,0.0,87,1980.0,0.0,0.0,0.0,0.0,75
2.4540858268737793,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,112
3.2646005153656006,1980.0,0.0,0.0,0.0,0.0,140,1980.0,0.0,0.0,0.0,0.0,112
4.07529878616333,1980.0,0.0,0.0,0.0,0.0,140,1980.0,0.0,0.0,0.0,0.0,112
4.887639999389648,1980.0,0.0,0.0,0.0,0.0,140,1980.0,0.0,0.0,0.0,0.0,112
5.698448896408081,1980.0,0.0,0.0,0.0,0.0,140,1980.0,0.0,0.0,0.0,0.0,112
6.508661985397339,1980.0,0.0,0.0,0.0,0.0,140,1980.0,0.0,0.0,0.0,0.0,112
7.575563192367554,1980.0,0.0,0.0,0.0,0.0,140,1980.0,0.0,0.0,0.0,0.0,112
8.710192918777466,1920.0,0.064,0.0,0.086,0.0,242,1980.0,0.183,0.0,0.203,0.0,211
9.520720481872559,1965.0,0.199,0.0,0.179,0.0,381,1980.0,0.224,0.0,0.226,0.0,361
10.330817461013794,1815.0,0.262,0.0,0.279,0.0,391,1980.0,0.26,0.0,0.268,0.0,377
11.140820980072021,1920.0,0.262,0.0,0.281,0.0,402,1980.0,0.258,0.0,0.265,0.0,390
11.950030088424683,1875.0,0.23,0.0,0.308,0.0,401,1950.0,0.242,0.0,0.251,0.0,393
12.75993037223816,1890.0,0.233,0.0,0.302,0.0,400,1920.0,0.23,0.0,0.27,0.0,397
13.570229053497314,1860.0,0.262,0.0,0.282,0.0,397,1965.0,0.258,0.0,0.263,0.0,394
14.380303382873535,1845.0,0.164,0.0,0.171,0.0,385,1980.0,0.166,0.0,0.174,0.0,371
15.190571546554565,1845.0,0.252,0.0,0.288,0.0,401,1965.0,0.25,0.0,0.252,0.0,397
16.001226663589478,1695.0,0.264,0.0,0.281,0.0,399,1950.0,0.258,0.0,0.267,0.0,398
16.811429262161255,1680.0,0.257,0.0,0.282,0.0,397,1920.0,0.252,0.0,0.275,0.0,394
17.62107229232788,1770.0,0.259,0.0,0.284,0.0,400,1965.0,0.258,0.0,0.269,0.0,395
18.430785179138184,1905.0,0.256,0.0,0.286,0.0,397,1950.0,0.253,0.0,0.256,0.0,394
19.24041223526001,1815.0,0.26,0.0,0.284,0.0,399,1920.0,0.256,0.0,0.262,0.0,392
20.05053472518921,1800.0,0.224,0.0,0.259,0.0,389,1935.0,0.23,0.0,0.271,0.0,377
20.860450267791748,1935.0,0.247,0.0,0.294,0.0,392,1965.0,0.232,0.0,0.257,0.0,395
21.670145273208618,1830.0,0.228,0.0,0.309,0.0,397,1905.0,0.23,0.0,0.264,0.0,398
22.480249166488647,1650.0,0.259,0.0,0.282,0.0,400,1950.0,0.246,0.0,0.269,0.0,395
23.289963245391846,1725.0,0.262,0.0,0.28,0.0,397,1875.0,0.26,0.0,0.274,0.0,395
24.09957194328308,1800.0,0.262,0.0,0.281,0.0,400,1935.0,0.257,0.0,0.263,0.0,394
24.90902543067932,1965.0,0.24,0.0,0.301,0.0,379,1965.0,0.256,0.0,0.26,0.0,377
25.72048044204712,1980.0,0.0,0.0,0.0,0.0,185,1980.0,0.0,0.0,0.0,0.0,159
