Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W)
0.20010900497436523,450.0,0.0,0.0,0.0,0.0,135,345.0,0.0,0.0,0.0,0.0,68
1.012979507446289,345.0,0.0,0.0,0.0,0.0,83,345.0,0.0,0.0,0.0,0.0,68
1.8246536254882812,345.0,0.0,0.0,0.0,0.0,82,345.0,0.0,0.0,0.0,0.0,68
2.636070966720581,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,68
3.447671413421631,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,68
4.628934144973755,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,68
6.2192394733428955,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,68
7.030493259429932,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,68
7.842939138412476,1980.0,0.0,0.0,0.0,0.0,109,345.0,0.0,0.0,0.0,0.0,68
8.653679847717285,1980.0,0.0,0.0,0.0,0.0,140,345.0,0.0,0.0,0.0,0.0,68
9.464237213134766,1980.0,0.0,0.0,0.0,0.0,140,345.0,0.0,0.0,0.0,0.0,68
10.274686336517334,1980.0,0.001,0.0,0.0,0.0,141,1980.0,0.0,0.0,0.0,0.0,79
11.443618535995483,1440.0,0.003,0.0,0.004,0.0,161,1845.0,0.018,0.0,0.029,0.0,127
12.254158020019531,1290.0,0.135,0.0,0.135,0.0,200,1860.0,0.047,0.0,0.085,0.0,190
13.063591480255127,1185.0,0.148,0.0,0.131,0.0,198,1965.0,0.049,0.0,0.094,0.0,191
13.873137474060059,1320.0,0.149,0.0,0.131,0.0,198,1875.0,0.049,0.0,0.094,0.0,191
14.683151721954346,1410.0,0.147,0.0,0.13,0.0,198,1920.0,0.048,0.0,0.089,0.0,185
15.492560625076294,1260.0,0.146,0.0,0.128,0.0,198,1950.0,0.046,0.0,0.082,0.0,191
16.30193066596985,1365.0,0.133,0.0,0.149,0.0,198,1920.0,0.046,0.0,0.085,0.0,192
17.111783981323242,1065.0,0.137,0.0,0.134,0.0,197,1815.0,0.048,0.0,0.089,0.0,191
17.921780824661255,1200.0,0.146,0.0,0.128,0.0,196,1860.0,0.047,0.0,0.085,0.0,188
18.731608390808105,1290.0,0.141,0.0,0.132,0.0,198,1920.0,0.049,0.0,0.094,0.0,192
19.54190731048584,1320.0,0.134,0.0,0.139,0.0,197,1815.0,0.046,0.0,0.085,0.0,191
