Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W)
0.2001042366027832,1980.0,0.013,0.0,0.0,0.0,149
1.0133211612701416,450.0,0.0,0.0,0.0,0.0,127
1.82468581199646,345.0,0.0,0.0,0.0,0.0,83
2.6357781887054443,345.0,0.0,0.0,0.0,0.0,82
3.7112889289855957,345.0,0.0,0.0,0.0,0.0,81
5.287366628646851,345.0,0.0,0.0,0.0,0.0,81
6.09818434715271,1980.0,0.0,0.0,0.0,0.0,151
6.907793760299683,1980.0,0.555,0.0,0.017,0.0,475
7.7173171043396,1980.0,0.661,0.0,0.017,0.0,594
8.526367902755737,1980.0,0.668,0.0,0.019,0.0,599
9.337281465530396,1980.0,0.657,0.0,0.018,0.0,600
10.14716625213623,1980.0,0.663,0.0,0.019,0.0,599
10.956539154052734,1980.0,0.693,0.0,0.018,0.0,598
11.766239643096924,1980.0,0.686,0.0,0.019,0.0,597
12.609291315078735,1980.0,0.672,0.0,0.019,0.0,604
13.418589115142822,1980.0,0.66,0.0,0.018,0.0,601
14.227955341339111,1980.0,0.664,0.0,0.019,0.0,600
15.037082433700562,1980.0,0.681,0.0,0.018,0.0,608
15.846445322036743,1980.0,0.659,0.0,0.019,0.0,597
16.65627908706665,1980.0,0.424,0.0,0.012,0.0,444
17.46652626991272,1980.0,0.674,0.0,0.017,0.0,506
18.278127908706665,1980.0,0.673,0.0,0.019,0.0,597
19.08745002746582,1980.0,0.682,0.0,0.019,0.0,605
19.897006511688232,1980.0,0.669,0.0,0.018,0.0,603
20.7066867351532,1980.0,0.663,0.0,0.019,0.0,607
21.516120672225952,1980.0,0.67,0.0,0.017,0.0,613
22.326323747634888,1980.0,0.672,0.0,0.019,0.0,603
23.13577389717102,1980.0,0.675,0.0,0.019,0.0,610
23.945499658584595,1980.0,0.665,0.0,0.019,0.0,607
24.754913568496704,1980.0,0.69,0.0,0.018,0.0,603
25.56517720222473,1980.0,0.684,0.0,0.018,0.0,599
26.375656604766846,1980.0,0.671,0.0,0.019,0.0,610
27.18527865409851,1980.0,0.28,0.0,0.007,0.0,504
27.995129585266113,1980.0,0.293,0.0,0.011,0.0,493
28.804481983184814,1980.0,0.676,0.0,0.019,0.0,605
29.613804817199707,1980.0,0.669,0.0,0.018,0.0,607
30.423276901245117,1980.0,0.662,0.0,0.019,0.0,608
31.232775449752808,1980.0,0.669,0.0,0.017,0.0,601
32.042096853256226,1980.0,0.668,0.0,0.019,0.0,604
32.85124373435974,1980.0,0.657,0.0,0.017,0.0,604
33.660507678985596,1980.0,0.665,0.0,0.019,0.0,610
34.469698667526245,1980.0,0.69,0.0,0.018,0.0,607
35.27907657623291,1980.0,0.693,0.0,0.019,0.0,604
36.09094786643982,1980.0,0.674,0.0,0.019,0.0,604
36.90049481391907,1980.0,0.658,0.0,0.017,0.0,606
37.70994281768799,1980.0,0.505,0.0,0.012,0.0,520
38.51894426345825,1980.0,0.367,0.0,0.01,0.0,383
