Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W)
0.20009732246398926,405.0,0.0,0.0,0.0,0.0,116,450.0,0.0,0.0,0.0,0.0,92,390.0,0.0,0.0,0.0,0.0,72
1.7805671691894531,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
2.773524284362793,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,70,870.0,0.0,0.0,0.0,0.0,72
4.1589179039001465,1935.0,0.585,0.0,0.002,0.078,213,1980.0,0.061,0.0,0.0,0.008,205,1965.0,0.383,0.0,0.001,0.049,205
4.968732118606567,1740.0,0.6,0.0,0.002,0.089,400,1890.0,0.59,0.0,0.002,0.077,397,1965.0,0.592,0.0,0.001,0.076,399
5.7779741287231445,1365.0,0.611,0.0,0.002,0.084,393,1845.0,0.611,0.0,0.002,0.079,396,1860.0,0.613,0.0,0.002,0.078,402
6.587108135223389,1755.0,0.61,0.0,0.002,0.083,396,1905.0,0.612,0.0,0.002,0.081,399,1965.0,0.609,0.0,0.002,0.079,398
7.395986080169678,1875.0,0.609,0.0,0.002,0.092,398,1965.0,0.609,0.0,0.002,0.082,398,1965.0,0.61,0.0,0.002,0.077,399
8.204981565475464,1725.0,0.606,0.0,0.002,0.096,398,1875.0,0.605,0.0,0.002,0.084,394,1920.0,0.602,0.0,0.002,0.08,395
9.014078140258789,1725.0,0.601,0.0,0.002,0.099,396,1860.0,0.604,0.0,0.002,0.082,396,1890.0,0.606,0.0,0.002,0.079,398
9.826646566390991,1605.0,0.609,0.0,0.002,0.089,396,1935.0,0.608,0.0,0.002,0.083,395,1965.0,0.609,0.0,0.002,0.079,399
10.640881538391113,1695.0,0.61,0.0,0.002,0.086,397,1950.0,0.609,0.0,0.002,0.083,398,1890.0,0.609,0.0,0.002,0.079,401
11.450466871261597,1860.0,0.607,0.0,0.002,0.089,400,1875.0,0.608,0.0,0.002,0.081,405,1965.0,0.608,0.0,0.002,0.079,395
12.260240316390991,1680.0,0.607,0.0,0.002,0.095,398,1965.0,0.603,0.0,0.002,0.081,397,1920.0,0.608,0.0,0.002,0.078,400
13.069817066192627,1665.0,0.608,0.0,0.002,0.092,399,1650.0,0.608,0.0,0.002,0.082,395,1920.0,0.604,0.0,0.002,0.08,395
13.880788564682007,1455.0,0.61,0.0,0.002,0.089,402,1800.0,0.609,0.0,0.002,0.081,396,1965.0,0.611,0.0,0.002,0.079,397
14.690608978271484,1680.0,0.61,0.0,0.002,0.089,398,1890.0,0.61,0.0,0.002,0.082,393,1935.0,0.609,0.0,0.002,0.08,395
15.49989914894104,1680.0,0.61,0.0,0.002,0.091,397,1845.0,0.61,0.0,0.002,0.082,399,1965.0,0.611,0.0,0.002,0.079,396
16.309497117996216,1560.0,0.605,0.0,0.002,0.093,398,1800.0,0.607,0.0,0.002,0.085,401,1935.0,0.605,0.0,0.002,0.079,395
17.11851191520691,1770.0,0.606,0.0,0.002,0.094,399,1785.0,0.605,0.0,0.002,0.083,399,1965.0,0.609,0.0,0.002,0.078,397
17.927898645401,1545.0,0.61,0.0,0.002,0.088,400,1905.0,0.607,0.0,0.002,0.083,393,1950.0,0.61,0.0,0.002,0.081,401
18.737236499786377,1680.0,0.606,0.0,0.002,0.094,398,1875.0,0.605,0.0,0.002,0.085,395,1860.0,0.604,0.0,0.002,0.079,398
19.646076679229736,1980.0,0.258,0.0,0.001,0.035,291,1980.0,0.346,0.0,0.001,0.045,294,1980.0,0.374,0.0,0.001,0.048,263
